Full Name:,Born:,Current Age:,Bats:,Bowls:,Innings:,Not Outs:,Aggregate:,Highest Score:,Average:,50s:,100s:,Ducks:,4s:,6s:,Scoring Rate,Overs:,Runs Conceded:,Wickets:,Average:,4 Wickets in Innings:,5 Wickets in Innings:,Economy Rate:,Strike Rate:,Catches:,Most Catches in Innings:,Catches:,Stumpings:,Most Catches in Innings:,Most Dismissals in Innings:,Won/Lost:,Matches
Mayank Anurag Agarwal,16/02/1991,29 years 88 days,Right Handed,Does Not Bowl | Unknown,3.0,0.0,36.0,32.0,12.0,0.0,0.0,0.0,6.0,0.0,92.31,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,3
Khaleel Khursheed Ahmed,05/12/1997,22 years 161 days,Right Handed,Left Arm Medium,3.0,1.0,9.0,5.0,4.5,0.0,0.0,0.0,1.0,0.0,52.94,80.0,465.0,15.0,31.0,0.0,0.0,5.81,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0,11
Ravichandran Ashwin,17/09/1986,33 years 240 days,Right Handed,Right Arm Off Break,61.0,19.0,675.0,65.0,16.07,1.0,0.0,6.0,59.0,6.0,86.98,1003.3,4937.0,150.0,32.91,1.0,0.0,4.92,40.14,30.0,3.0,0.0,0.0,0.0,0.0,0,111
Jasprit J Bumrah,06/12/1993,26 years 160 days,Right Handed,Right Arm Fast,15.0,10.0,19.0,10*,3.8,0.0,0.0,4.0,2.0,1.0,43.18,557.4,2541.0,104.0,24.43,6.0,1.0,4.56,32.17,17.0,2.0,0.0,0.0,0.0,0.0,0,64
Yuzvendra Singh Chahal,23/07/1990,29 years 296 days,Right Handed,Right Arm Leg Break,9.0,3.0,49.0,18*,8.17,0.0,0.0,1.0,7.0,0.0,58.33,463.1,2351.0,91.0,25.84,4.0,2.0,5.08,30.54,15.0,2.0,0.0,0.0,0.0,0.0,0,52
Deepak Lokandersingh Chahar,07/08/1992,27 years 281 days,Right Handed,Right Arm Medium,2.0,1.0,18.0,12.0,18.0,0.0,0.0,0.0,1.0,0.0,81.82,21.0,129.0,2.0,64.5,0.0,0.0,6.14,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
Rishi Dhawan,19/02/1990,30 years 85 days,Right Handed,Right Arm Medium Fast,2.0,1.0,12.0,9.0,12.0,0.0,0.0,0.0,1.0,0.0,92.31,25.0,160.0,1.0,160.0,0.0,0.0,6.4,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
Shikhar Dhawan,05/12/1985,34 years 161 days,Left Handed,Does Not Bowl | Unknown,133.0,7.0,5688.0,143.0,45.14,29.0,17.0,5.0,710.0,68.0,94.02,0.0,0.0,0.0,0,0.0,0.0,0,0,62.0,4.0,0.0,0.0,0.0,0.0,0,136
Mahendra Singh Dhoni,07/07/1981,38 years 312 days,Right Handed,Does Not Bowl | Unknown,297.0,84.0,10773.0,183*,50.58,73.0,10.0,10.0,826.0,229.0,87.56,6.0,31.0,1.0,31.0,0.0,0.0,5.17,36.0,0.0,0.0,321.0,123.0,5.0,6.0,1.49,350
Shivam Dube,26/06/1993,26 years 323 days,Left Handed,Right Arm Medium,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,150.0,7.5,68.0,0.0,0,0.0,0.0,8.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
