Full Name:,Born:,Current Age:,Bats:,Bowls:,Innings:,Not Outs:,Aggregate:,Highest Score:,Average:,50s:,100s:,Ducks:,4s:,6s:,Scoring Rate,Overs:,Runs Conceded:,Wickets:,Average:,4 Wickets in Innings:,5 Wickets in Innings:,Economy Rate:,Strike Rate:,Catches:,Most Catches in Innings:,Catches:,Stumpings:,Most Catches in Innings:,Most Dismissals in Innings:,Won/Lost:,Matches
Khaleel Khursheed Ahmed,05/12/1997,22 years 161 days,Right Handed,Left Arm Medium,1.0,1.0,1.0,1*,0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,459.0,13.0,35.31,0.0,0.0,8.83,24.0,3.0,1.0,0.0,0.0,0.0,0.0,0,14
Ravichandran Ashwin,17/09/1986,33 years 240 days,Right Handed,Right Arm Off Break,11.0,7.0,123.0,31*,30.75,0.0,0.0,0.0,14.0,1.0,106.96,171.0,1193.0,52.0,22.94,2.0,0.0,6.98,19.73,8.0,1.0,0.0,0.0,0.0,0.0,0,46
Jasprit J Bumrah,06/12/1993,26 years 160 days,Right Handed,Right Arm Fast,6.0,4.0,8.0,7.0,4.0,0.0,0.0,1.0,1.0,0.0,61.54,179.1,1195.0,59.0,20.25,0.0,0.0,6.67,18.22,7.0,2.0,0.0,0.0,0.0,0.0,0,50
Yuzvendra Singh Chahal,23/07/1990,29 years 296 days,Right Handed,Right Arm Leg Break,4.0,2.0,5.0,3*,2.5,0.0,0.0,0.0,0.0,0.0,45.45,163.3,1339.0,55.0,24.35,3.0,1.0,8.19,17.84,9.0,2.0,0.0,0.0,0.0,0.0,0,42
Deepak Lokandersingh Chahar,07/08/1992,27 years 281 days,Right Handed,Right Arm Medium,2.0,2.0,1.0,1*,0,0.0,0.0,0.0,0.0,0.0,100.0,35.5,251.0,17.0,14.76,1.0,1.0,7.0,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0,10
Rahul Desraj Chahar,04/08/1999,20 years 284 days,Right Handed,Right Arm Leg Break,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,27.0,1.0,27.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Rishi Dhawan,19/02/1990,30 years 85 days,Right Handed,Right Arm Medium Fast,1.0,1.0,1.0,1*,0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,42.0,1.0,42.0,0.0,0.0,10.5,24.0,2.0,2.0,0.0,0.0,0.0,0.0,0,1
Shikhar Dhawan,05/12/1985,34 years 161 days,Left Handed,Does Not Bowl | Unknown,59.0,3.0,1588.0,92.0,28.36,10.0,0.0,1.0,175.0,47.0,128.27,0.0,0.0,0.0,0,0.0,0.0,0,0,19.0,2.0,0.0,0.0,0.0,0.0,0,61
Mahendra Singh Dhoni,07/07/1981,38 years 312 days,Right Handed,Does Not Bowl | Unknown,85.0,42.0,1617.0,56.0,37.6,2.0,0.0,1.0,116.0,53.0,126.13,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,57.0,34.0,5.0,5.0,1.5,98
Shivam Dube,26/06/1993,26 years 323 days,Left Handed,Right Arm Medium,9.0,3.0,105.0,54.0,17.5,1.0,0.0,0.0,7.0,6.0,136.36,21.3,216.0,5.0,43.2,0.0,0.0,10.05,25.8,8.0,2.0,0.0,0.0,0.0,0.0,0,13
Shreyas S Iyer,06/12/1994,25 years 160 days,Right Handed,Right Arm Leg Break,20.0,5.0,417.0,62.0,27.8,2.0,0.0,1.0,29.0,19.0,129.5,0.0,0.0,0.0,0,0.0,0.0,0,0,7.0,1.0,0.0,0.0,0.0,0.0,0,22
Ravindrasinh Anirudhsinh Jadeja,06/12/1988,31 years 160 days,Left Handed,Left Arm Orthodox,23.0,9.0,173.0,25.0,12.36,0.0,0.0,2.0,7.0,5.0,101.76,162.1,1152.0,39.0,29.54,0.0,0.0,7.1,24.95,21.0,2.0,0.0,0.0,0.0,0.0,0,49
Kedar M Jadhav,26/03/1985,35 years 49 days,Right Handed,Right Arm Off Break,6.0,0.0,122.0,58.0,20.33,1.0,0.0,0.0,12.0,3.0,123.23,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,9
Krishnakumar Dinesh Karthik,01/06/1985,34 years 348 days,Right Handed,Does Not Bowl | Unknown,26.0,14.0,399.0,48.0,33.25,0.0,0.0,2.0,42.0,15.0,143.53,0.0,0.0,0.0,0,0.0,0.0,0,0,8.0,1.0,6.0,5.0,3.0,3.0,0,32
Siddarth Kaul,19/05/1990,29 years 361 days,Right Handed,Right Arm Medium,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,9.4,84.0,4.0,21.0,0.0,0.0,8.69,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0,3
Virat Kohli,05/11/1988,31 years 191 days,Right Handed,Right Arm Medium,76.0,21.0,2794.0,94*,50.8,24.0,0.0,2.0,258.0,76.0,138.25,24.2,198.0,4.0,49.5,0.0,0.0,8.14,36.5,41.0,3.0,0.0,0.0,0.0,0.0,2.18,82
Kuldeep Yadav,14/12/1994,25 years 152 days,Left Handed,Left Arm Wrist Spin (Chinaman),2.0,1.0,20.0,16.0,20.0,0.0,0.0,0.0,2.0,0.0,100.0,75.3,537.0,39.0,13.77,2.0,1.0,7.11,11.62,8.0,2.0,0.0,0.0,0.0,0.0,0,21
Dhawal S Kulkarni,10/12/1988,31 years 156 days,Right Handed,Right Arm Medium,1.0,1.0,1.0,1*,0,0.0,0.0,0.0,0.0,0.0,100.0,8.0,55.0,3.0,18.33,0.0,0.0,6.88,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
Bhuvneshwar Kumar,05/02/1990,30 years 99 days,Right Handed,Right Arm Medium,9.0,5.0,23.0,9.0,5.75,0.0,0.0,1.0,0.0,0.0,79.31,154.2,1088.0,41.0,26.54,1.0,1.0,7.05,22.59,6.0,1.0,0.0,0.0,0.0,0.0,0,43
Mayank Markande,11/11/1997,22 years 185 days,Right Handed,Does Not Bowl | Unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,31.0,0.0,0,0.0,0.0,7.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Amit Mishra,24/11/1982,37 years 172 days,Right Handed,Right Arm Leg Break,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,38.0,240.0,16.0,15.0,0.0,0.0,6.32,14.25,1.0,1.0,0.0,0.0,0.0,0.0,0,10
Mohammed Shami Ahmed,03/09/1990,29 years 254 days,Right Handed,Right Arm Fast,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,39.4,382.0,12.0,31.83,0.0,0.0,9.63,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0,11
Mohammed Siraj,13/03/1994,26 years 62 days,Right Handed,Right Arm Medium Fast,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,148.0,3.0,49.33,0.0,0.0,12.33,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3
Manish Krishnanand Pandey,10/09/1989,30 years 247 days,Right Handed,Right Arm Off Break,32.0,17.0,707.0,79*,47.13,3.0,0.0,2.0,49.0,19.0,127.62,0.0,0.0,0.0,0,0.0,0.0,0,0,9.0,2.0,0.0,0.0,0.0,0.0,0,38
Hardik H Pandya,11/10/1993,26 years 216 days,Right Handed,Right Arm Medium Fast,25.0,6.0,310.0,33*,16.32,0.0,0.0,2.0,18.0,19.0,147.62,116.5,976.0,38.0,25.68,1.0,0.0,8.35,18.45,23.0,2.0,0.0,0.0,0.0,0.0,0,40
