No.,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R
1,23/12/2004,Bangladesh,MA Aziz Stadium,run out,0,1,0.00,0,0.00,0.00
2,26/12/2004,Bangladesh,Bangabandhu National Stadium,c Habibul Bashar b Mashrafe Mortaza,12,11,109.09,12,6.00,100.00
3,27/12/2004,Bangladesh,Bangabandhu National Stadium,not out,7*,2,350.00,19,9.50,135.71
4,02/04/2005,Pakistan,Nehru Stadium (Kochi),c Naved-ul-Hasan b Arshad Khan,3,7,42.86,22,7.33,104.76
5,05/04/2005,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c Shoaib Malik b Mohammad Hafeez,148,123,120.33,170,42.50,118.06
6,09/04/2005,Pakistan,Keenan Stadium,c †Kamran Akmal b Naved-ul-Hasan,28,24,116.67,198,39.60,117.86
7,12/04/2005,Pakistan,Sardar Patel Stadium,c †Kamran Akmal b Shoaib Malik,47,64,73.44,245,40.83,105.60
8,15/04/2005,Pakistan,Green Park,c Younis Khan b Naved-ul-Hasan,11,16,68.75,256,36.57,103.23
9,17/04/2005,Pakistan,Arun Jaitley Stadium,c Shahid Afridi b Arshad Khan,24,38,63.16,280,35.00,97.90
10,30/07/2005,Sri Lanka,Rangiri Dambulla International Stadium,b L H D Dilhara,2,7,28.57,282,31.33,96.25
11,31/07/2005,West Indies,Rangiri Dambulla International Stadium,not out,15*,11,136.36,297,33.00,97.70
12,03/08/2005,Sri Lanka,Rangiri Dambulla International Stadium,c & b T M Dilshan,20,27,74.07,317,31.70,95.77
13,07/08/2005,West Indies,R Premadasa Stadium,not out,28*,13,215.38,345,34.50,100.29
14,09/08/2005,Sri Lanka,R Premadasa Stadium,lbw b U D U Chandana,7,11,63.64,352,32.00,99.15
15,26/08/2005,New Zealand,Queens Sports Club,c †B B McCullum b A R Adams,2,5,40.00,354,29.50,98.33
16,29/08/2005,Zimbabwe,Harare Sports Club,c N B Mahwire b A J Ireland,56,46,121.74,410,31.54,100.99
17,02/09/2005,New Zealand,Harare Sports Club,not out,37*,27,137.04,447,34.38,103.23
18,04/09/2005,Zimbabwe,Harare Sports Club,not out,67*,63,106.35,514,39.54,103.63
19,06/09/2005,New Zealand,Harare Sports Club,lbw b S B Styris,11,16,68.75,525,37.50,102.54
20,25/10/2005,Sri Lanka,Vidarbha Cricket Association Ground,c D P M D Jayawardene b C R D Fernando,38,28,135.71,563,37.53,104.26
21,28/10/2005,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,563,37.53,104.26
22,31/10/2005,Sri Lanka,Sawai Mansingh Stadium,not out,183*,145,126.21,746,49.73,108.91
23,03/11/2005,Sri Lanka,Nehru Stadium (Pune),not out,45*,43,104.65,791,52.73,108.65
24,06/11/2005,Sri Lanka,Sardar Patel Stadium,lbw b D N T Zoysa,0,1,0.00,791,49.44,108.50
